time;thread;requestID;mamFileID;inDesignServerInstance;sessionContext;documentLockedlogSeparatoropenFilesFromResponse;status
2013-12-10 02:15:18.039;pool-2-thread-8;!!!!18!!!!;7356;http://localhost:18385->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:15:19.389;pool-2-thread-8;!!!!18!!!!;7356;http://localhost:18385->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:15:19.390;pool-2-thread-8;!!!!18!!!!;7356;http://localhost:18385->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:15:19.394;pool-2-thread-8;!!!!18!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:15:34.832;pool-2-thread-9;!!!!19!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:15:34.832;pool-2-thread-9;!!!!19!!!!;7356;http://localhost:18385->[7356];;1;null;GOT_INDS
2013-12-10 02:15:34.837;pool-2-thread-9;!!!!19!!!!;7356;http://localhost:18385->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:15:39.934;pool-2-thread-9;!!!!19!!!!;7356;http://localhost:18385->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:15:39.934;pool-2-thread-9;!!!!19!!!!;7356;http://localhost:18385->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:15:39.938;pool-2-thread-9;!!!!19!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:15:41.101;pool-2-thread-10;!!!!20!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:15:41.101;pool-2-thread-10;!!!!20!!!!;7356;http://localhost:18385->[7356];;1;null;GOT_INDS
2013-12-10 02:15:41.106;pool-2-thread-10;!!!!20!!!!;7356;http://localhost:18385->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:15:41.477;pool-2-thread-10;!!!!20!!!!;7356;http://localhost:18385->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:15:41.478;pool-2-thread-10;!!!!20!!!!;7356;http://localhost:18385->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:15:41.482;pool-2-thread-10;!!!!20!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:15:42.268;pool-2-thread-1;!!!!21!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:15:42.269;pool-2-thread-1;!!!!21!!!!;7356;http://localhost:18385->[7356];;1;null;GOT_INDS
2013-12-10 02:15:42.269;pool-2-thread-2;!!!!22!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:15:42.286;pool-2-thread-1;!!!!21!!!!;7356;http://localhost:18385->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:15:42.286;pool-2-thread-2;!!!!22!!!!;7356;null;;1;null;WAITING_FOR_INDS
2013-12-10 02:15:42.576;pool-2-thread-1;!!!!21!!!!;7356;http://localhost:18385->[7356];;1;null;RECEIVED_FROM_INDS
